,pref_name,station_cd,station_g_cd,station_name,post,add,lon,lat,open_ymd,close_ymd,e_status,x,y,line_name
100,北海道,1110402,1110402,静狩,049-5141,山越郡長万部町字静狩,140.460025,42.584065,,,0,1404600.25,-425840.65,JR室蘭本線(長万部・室蘭～苫小牧)
101,北海道,1110403,1110403,小幌,049-5333,虻田郡豊浦町字礼文華,140.537361,42.589731,,,0,1405373.61,-425897.31,JR室蘭本線(長万部・室蘭～苫小牧)
102,北海道,1110404,1110404,礼文,049-5333,虻田郡豊浦町字礼文華,140.595013,42.580422,,,0,1405950.13,-425804.22,JR室蘭本線(長万部・室蘭～苫小牧)
103,北海道,1110405,1110405,大岸,049-5332,虻田郡豊浦町字大岸,140.639036,42.585969,,,0,1406390.36,-425859.69,JR室蘭本線(長万部・室蘭～苫小牧)
104,北海道,1110406,1110406,豊浦,049-5412,虻田郡豊浦町字旭町,140.71536,42.580323,,,0,1407153.6,-425803.23,JR室蘭本線(長万部・室蘭～苫小牧)
105,北海道,1110407,1110407,洞爺,049-5611,虻田郡洞爺湖町旭町,140.763959,42.55055,,,0,1407639.59,-425505.5,JR室蘭本線(長万部・室蘭～苫小牧)
106,北海道,1110408,1110408,有珠,059-0151,伊達市有珠町,140.793969,42.513267,,,0,1407939.69,-425132.67,JR室蘭本線(長万部・室蘭～苫小牧)
107,北海道,1110409,1110409,長和,052-0035,伊達市長和町,140.833783,42.488262,,,0,1408337.83,-424882.62,JR室蘭本線(長万部・室蘭～苫小牧)
108,北海道,1110410,1110410,伊達紋別,052-0032,伊達市山下町,140.855802,42.469395,,,0,1408558.02,-424693.95,JR室蘭本線(長万部・室蘭～苫小牧)
109,北海道,1110411,1110411,北舟岡,052-0014,伊達市舟岡町,140.880259,42.450528,,,0,1408802.59,-424505.28,JR室蘭本線(長万部・室蘭～苫小牧)
110,北海道,1110412,1110412,稀府,059-0273,伊達市南稀府町,140.898836,42.425567,,,0,1408988.36,-424255.67,JR室蘭本線(長万部・室蘭～苫小牧)
111,北海道,1110413,1110413,黄金,059-0271,伊達市南黄金町,140.907781,42.386441,,,0,1409077.81,-423864.41,JR室蘭本線(長万部・室蘭～苫小牧)
112,北海道,1110414,1110414,崎守,050-0055,室蘭市崎守町,140.927141,42.373968,,,0,1409271.41,-423739.68,JR室蘭本線(長万部・室蘭～苫小牧)
113,北海道,1110415,1110415,本輪西,050-0065,室蘭市本輪西町１丁目,140.977561,42.358734,,,0,1409775.61,-423587.34,JR室蘭本線(長万部・室蘭～苫小牧)
114,北海道,1110416,1110416,室蘭,051-0023,室蘭市入江町１,140.97571,42.317864,,,0,1409757.1,-423178.64,JR室蘭本線(長万部・室蘭～苫小牧)
115,北海道,1110417,1110417,母恋,051-0004,室蘭市母恋北町１丁目,140.990018,42.317295,,,0,1409900.18,-423172.95,JR室蘭本線(長万部・室蘭～苫小牧)
116,北海道,1110418,1110418,御崎,051-0001,室蘭市御崎町２丁目,140.993881,42.329014,,,0,1409938.81,-423290.14,JR室蘭本線(長万部・室蘭～苫小牧)
117,北海道,1110419,1110419,輪西,050-0087,室蘭市仲町,141.005743,42.333775,,,0,1410057.43,-423337.75,JR室蘭本線(長万部・室蘭～苫小牧)
118,北海道,1110420,1110420,東室蘭,050-0083,室蘭市東町２丁目,141.026411,42.349374,,,0,1410264.11,-423493.74,JR室蘭本線(長万部・室蘭～苫小牧)
119,北海道,1110421,1110421,鷲別,059-0034,登別市鷲別町２丁目,141.042759,42.35953,,,0,1410427.59,-423595.3,JR室蘭本線(長万部・室蘭～苫小牧)
120,北海道,1110422,1110422,幌別,059-0013,登別市幌別町３丁目,141.107293,42.409782,,,0,1411072.93,-424097.82,JR室蘭本線(長万部・室蘭～苫小牧)
121,北海道,1110423,1110423,富浦,059-0462,登別市富浦町１丁目,141.156878,42.441957,,,0,1411568.78,-424419.57,JR室蘭本線(長万部・室蘭～苫小牧)
122,北海道,1110424,1110424,登別,059-0466,登別市登別港町１丁目,141.180931,42.45207,,,0,1411809.31,-424520.7,JR室蘭本線(長万部・室蘭～苫小牧)
123,北海道,1110425,1110425,虎杖浜,059-0641,白老郡白老町字虎杖浜,141.215092,42.464695,,,0,1412150.92,-424646.95,JR室蘭本線(長万部・室蘭～苫小牧)
124,北海道,1110426,1110426,竹浦,059-0642,白老郡白老町字竹浦,141.260395,42.49284,,,0,1412603.95,-424928.4,JR室蘭本線(長万部・室蘭～苫小牧)
125,北海道,1110427,1110427,北吉原,059-0923,白老郡白老町字北吉原,141.286199,42.509119,,,0,1412861.99,-425091.19,JR室蘭本線(長万部・室蘭～苫小牧)
